GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALU3E001,ALU3E002,ALU3E003,ALU3E004,ALU3E005,ALU3E006,ALU3E007,ALU3E008,ALU3E009,ALU3E010,ALU3E011,ALU3E012,ALU3E013,NAME_M,ALU3M001,ALU3M002,ALU3M003,ALU3M004,ALU3M005,ALU3M006,ALU3M007,ALU3M008,ALU3M009,ALU3M010,ALU3M011,ALU3M012,ALU3M013
"G010","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US01",,,"Alabama",2003907,52080,192819,279725,335062,314272,133951,289369,58455,61807,156917,90823,38627,"Alabama",8005,1718,3297,4247,4704,5262,3048,3749,2125,2120,3239,2308,1467
"G020","2015-2019","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US02",,,"Alaska",339374,26715,62208,65131,64418,47776,15012,23790,3234,4354,10648,9275,6813,"Alaska",2239,937,1656,2108,1737,1707,926,1265,442,442,757,621,553
"G040","2015-2019","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US04",,,"Arizona",2893223,73275,276574,373015,439671,443536,213174,423158,92553,120918,232925,146056,58368,"Arizona",8334,2109,4253,4183,4343,5655,3367,5420,2492,2711,3989,3630,1980
"G050","2015-2019","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US05",,,"Arkansas",1243313,56207,169527,218753,218107,174293,68618,142202,28342,32966,71823,41801,20674,"Arkansas",6266,1925,3134,3341,3415,3321,1719,2939,1047,1345,2088,1494,1098
"G060","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US06",,,"California",17117589,299853,1268729,2079244,2495739,2407181,1027189,2577937,474302,752926,1552564,1461176,720749,"California",22898,4206,9035,12324,11541,11135,7302,11510,5951,6601,10021,9015,8008
"G080","2015-2019","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US08",,,"Colorado",2648121,70071,251150,351733,411011,403216,179681,378096,86272,104660,218272,139388,54571,"Colorado",7324,2106,3956,4599,5094,4532,3202,4325,2189,2063,3582,2812,1548
"G090","2015-2019","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US09",,,"Connecticut",1692626,41307,158338,249026,266155,260094,113201,212045,50404,64376,119516,99050,59114,"Connecticut",6343,1727,3550,3216,4180,3826,2870,3043,1588,1721,2687,2603,2036
"G100","2015-2019","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US10",,,"Delaware",427763,8978,35937,60491,70361,69746,30667,58453,11277,16503,29258,24342,11750,"Delaware",3177,851,1297,1683,1897,1839,1256,1746,799,1020,1465,1318,760
"G110","2015-2019","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US11",,,"District of Columbia",349094,3742,13281,25576,38967,51342,27267,70192,18653,24429,43949,24814,6882,"District of Columbia",2661,517,900,1245,1420,1657,1204,1970,1052,1220,1484,1138,623
"G120","2015-2019","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US12",,,"Florida",8804699,150347,618999,1019566,1292992,1375067,595600,1486955,302570,386376,825295,539955,210977,"Florida",17241,3334,6546,8708,10567,10322,6978,10454,4769,5163,8652,7595,4024
