GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALU3E001,ALU3E002,ALU3E003,ALU3E004,ALU3E005,ALU3E006,ALU3E007,ALU3E008,ALU3E009,ALU3E010,ALU3E011,ALU3E012,ALU3E013,NAME_M,ALU3M001,ALU3M002,ALU3M003,ALU3M004,ALU3M005,ALU3M006,ALU3M007,ALU3M008,ALU3M009,ALU3M010,ALU3M011,ALU3M012,ALU3M013
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",23796,768,2548,3026,2958,3398,2170,4594,1025,665,1624,720,300,"Autauga County, Alabama",733,224,481,438,384,521,398,545,249,202,338,226,141
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",87084,1725,8292,11385,12898,11732,5685,13879,2352,4114,8399,4948,1675,"Baldwin County, Alabama",1779,320,814,930,969,1049,829,1131,401,624,873,792,336
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",8108,541,1413,1488,1224,784,335,839,198,134,469,500,183,"Barbour County, Alabama",451,131,230,268,189,166,117,177,67,65,178,140,69
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",7910,241,480,1043,1341,466,219,887,507,500,1420,743,63,"Bibb County, Alabama",569,141,230,320,261,191,116,245,197,195,327,267,53
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",21361,593,2179,1753,1578,1900,776,2314,950,976,4546,3230,566,"Blount County, Alabama",672,168,382,314,316,341,187,287,219,228,408,432,174
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",4239,237,525,839,419,325,48,357,289,115,578,392,115,"Bullock County, Alabama",530,149,261,337,183,144,45,179,252,88,323,215,130
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",7724,257,1060,1160,1225,1324,238,932,105,175,699,401,148,"Butler County, Alabama",355,79,188,291,251,223,73,187,86,78,196,168,60
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",46008,1644,4527,6587,7898,7306,2991,6465,1042,1118,2772,2477,1181,"Calhoun County, Alabama",1072,370,579,678,721,647,420,574,244,302,370,418,240
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",14085,462,1433,2040,2821,2182,767,1818,256,412,1057,603,234,"Chambers County, Alabama",491,181,278,347,356,307,200,298,105,141,249,185,98
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",9703,223,963,1263,1268,812,396,1633,340,370,1442,653,340,"Cherokee County, Alabama",496,96,216,233,253,211,135,280,142,156,282,179,122
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",16871,480,1225,1774,1845,2068,841,1593,951,474,2909,2368,343,"Chilton County, Alabama",735,185,291,325,326,422,314,274,280,155,408,437,125
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",3997,159,420,246,618,372,222,475,73,175,473,510,254,"Choctaw County, Alabama",313,72,113,96,179,142,91,143,39,101,137,143,129
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",7588,301,1180,1172,1179,478,168,911,215,294,761,689,240,"Clarke County, Alabama",483,106,228,284,255,152,62,198,77,133,194,203,81
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",5215,246,666,642,964,646,122,459,88,152,421,549,260,"Clay County, Alabama",367,108,199,214,220,170,104,162,73,93,165,218,127
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",5246,260,329,388,483,667,381,743,320,200,787,295,393,"Cleburne County, Alabama",333,125,109,128,161,144,117,182,96,84,171,117,121
"G0100310","2015-2019","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",21778,847,2693,3929,3284,3866,1212,2417,501,662,1325,545,497,"Coffee County, Alabama",542,178,301,431,355,388,252,286,119,173,224,162,132
"G0100330","2015-2019","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",21984,377,2710,3594,3858,3938,1177,2901,277,440,1224,1092,396,"Colbert County, Alabama",567,142,442,408,407,434,226,334,112,116,310,230,133
"G0100350","2015-2019","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",4139,148,427,884,483,564,103,552,100,177,254,259,188,"Conecuh County, Alabama",350,82,233,244,149,211,59,169,60,127,85,158,86
"G0100370","2015-2019","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",3881,111,230,437,521,657,388,506,69,143,378,354,87,"Coosa County, Alabama",363,69,93,146,179,151,177,175,80,91,149,135,57
"G0100390","2015-2019","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",14446,651,2316,2466,2268,2155,366,1539,232,326,841,643,643,"Covington County, Alabama",461,133,301,264,334,290,112,259,105,131,171,163,137
"G0100410","2015-2019","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",5367,405,582,457,657,549,232,859,156,150,577,559,184,"Crenshaw County, Alabama",289,124,123,109,143,144,76,167,65,65,116,122,84
"G0100430","2015-2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",33080,1596,4143,5287,4899,4413,1523,2655,616,655,3174,3024,1095,"Cullman County, Alabama",969,303,496,499,609,471,296,315,162,148,408,356,293
"G0100450","2015-2019","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",19744,763,2499,3478,3956,2876,974,2505,375,501,957,407,453,"Dale County, Alabama",699,198,413,414,393,303,228,288,126,167,165,160,132
"G0100470","2015-2019","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",13763,418,2026,2515,2678,1443,665,1265,342,107,977,945,382,"Dallas County, Alabama",559,120,373,309,337,265,181,206,138,78,242,217,142
"G0100490","2015-2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",28431,1195,2721,4204,4848,4315,1994,3716,677,660,2124,1511,466,"DeKalb County, Alabama",850,290,391,537,580,573,373,543,185,184,384,333,105
"G0100510","2015-2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",33106,1022,2748,2639,4149,4846,3262,5630,2132,1310,3613,1195,560,"Elmore County, Alabama",846,347,459,384,577,514,453,591,452,255,425,282,151
"G0100530","2015-2019","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",12517,466,1651,2936,2308,1456,259,1170,200,369,689,767,246,"Escambia County, Alabama",625,157,278,384,392,274,162,242,106,151,172,210,87
"G0100550","2015-2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",40256,971,4395,6993,7583,6070,2839,4073,768,775,2539,2160,1090,"Etowah County, Alabama",1139,248,509,589,621,536,360,471,201,202,362,321,249
"G0100570","2015-2019","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",6131,375,569,677,805,657,330,732,110,192,677,841,166,"Fayette County, Alabama",370,143,152,150,221,150,117,195,80,119,174,178,78
"G0100590","2015-2019","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",12621,401,1481,1466,1965,1355,613,2009,187,554,1164,993,433,"Franklin County, Alabama",505,158,339,244,431,315,229,408,110,233,237,279,177
"G0100610","2015-2019","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",9846,510,1222,1068,1281,988,733,1599,363,370,731,463,518,"Geneva County, Alabama",546,168,261,270,253,191,184,258,120,131,158,130,155
"G0100630","2015-2019","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",2310,143,256,172,215,227,75,174,10,198,229,419,192,"Greene County, Alabama",294,85,125,134,112,117,54,95,10,172,127,242,145
"G0100650","2015-2019","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",5075,126,430,519,357,622,312,897,136,157,941,465,113,"Hale County, Alabama",416,74,112,159,111,162,108,176,58,77,269,155,64
"G0100670","2015-2019","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",6594,220,512,558,1207,915,690,1090,120,241,528,337,176,"Henry County, Alabama",327,110,133,179,234,189,191,203,47,96,137,81,85
